scenario,scheme,time_us,bytes_delta_raw,utilization_cv_raw,mean_queue_fraction_raw,utilization_cv_rolling_median,mean_queue_fraction_rolling_median,in_valid_business_range
asymmetric_p2p_tornado_16mib,mrc,190,23503232,0.00891391227638,0.0222267328307,0.00956722840703,0.0223509322765,1
asymmetric_p2p_tornado_16mib,mrc,192,23552832,0.00968268915136,0.0229094749273,0.00934845033676,0.0229094749273,1
asymmetric_p2p_tornado_16mib,mrc,194,23671168,0.00956722840703,0.023330333621,0.00956722840703,0.0231025163517,1
asymmetric_p2p_tornado_16mib,mrc,196,23511744,0.00907598071685,0.0238022915153,0.00956722840703,0.023330333621,1
asymmetric_p2p_tornado_16mib,mrc,198,23714304,0.0098521631893,0.0231025163517,0.00956722840703,0.0233331724655,1
asymmetric_p2p_tornado_16mib,mrc,200,23509696,0.00926901746876,0.0233331724655,0.00961059601266,0.0237852584484,1
asymmetric_p2p_tornado_16mib,mrc,202,23531136,0.00961059601266,0.0240230116733,0.00961059601266,0.0233331724655,1
asymmetric_p2p_tornado_16mib,mrc,204,23598720,0.00974811660211,0.0237852584484,0.00943221753203,0.0233331724655,1
asymmetric_p2p_tornado_16mib,mrc,206,23632640,0.00924483484379,0.0232472974201,0.00961059601266,0.0232472974201,1
asymmetric_p2p_tornado_16mib,mrc,208,23479104,0.00943221753203,0.0229023778161,0.0096759212641,0.0229023778161,1
asymmetric_p2p_tornado_16mib,mrc,210,23691136,0.00984507244836,0.0226376555687,0.00959504392308,0.022776758948,1
asymmetric_p2p_tornado_16mib,mrc,212,23606976,0.0096759212641,0.022776758948,0.0096759212641,0.0226376555687,1
asymmetric_p2p_tornado_16mib,mrc,214,23497856,0.00959504392308,0.0224595180778,0.0096759212641,0.0224595180778,1
asymmetric_p2p_tornado_16mib,mrc,216,23550336,0.00991853029829,0.0219953670058,0.0096759212641,0.0224595180778,1
asymmetric_p2p_tornado_16mib,mrc,218,23684544,0.00944743066732,0.0220791129179,0.00991853029829,0.0224595180778,1
asymmetric_p2p_tornado_16mib,mrc,220,23525760,0.0100503018028,0.0229563158612,0.00991853029829,0.0224041606105,1
asymmetric_p2p_tornado_16mib,mrc,222,23563072,0.0103630815034,0.0228576660156,0.0100503018028,0.0228576660156,1
asymmetric_p2p_tornado_16mib,mrc,224,23473600,0.00980588974015,0.0224041606105,0.0100503018028,0.0229563158612,1
