figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes
p2p,Asymmetric,asymmetric_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",asymmetric_p2p,permutation,4,0,0,1,0,ops,p99_fct_us,234.04454806588885,109.71029648978053,2.1332961039594855,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",asymmetric_p2p,permutation,4,0,0,1,0,reps,p99_fct_us,127.54523573594341,109.71029648978053,1.162563950848717,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",asymmetric_p2p,permutation,4,0,0,1,0,mrc,p99_fct_us,125.891613116596,109.71029648978053,1.1474913216401958,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",asymmetric_p2p,permutation,4,0,0,1,0,sglb,p99_fct_us,109.71029648978053,109.71029648978053,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",asymmetric_p2p,permutation,4,0,0,1,0,n-mrc,p99_fct_us,103.86287334312016,109.71029648978053,0.9467012364951082,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",asymmetric_p2p,permutation,8,0,0,1,0,ops,p99_fct_us,458.64198353291175,207.52842632848981,2.2100200519370907,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",asymmetric_p2p,permutation,8,0,0,1,0,reps,p99_fct_us,243.00513204091473,207.52842632848981,1.1709486567217062,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",asymmetric_p2p,permutation,8,0,0,1,0,mrc,p99_fct_us,250.65292668730206,207.52842632848981,1.2078004499034358,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",asymmetric_p2p,permutation,8,0,0,1,0,sglb,p99_fct_us,207.52842632848981,207.52842632848981,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",asymmetric_p2p,permutation,8,0,0,1,0,n-mrc,p99_fct_us,195.68944501790006,207.52842632848981,0.9429524835703701,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",asymmetric_p2p,permutation,16,0,0,1,0,ops,p99_fct_us,907.1935474528273,410.6459288452389,2.2091867561037564,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",asymmetric_p2p,permutation,16,0,0,1,0,reps,p99_fct_us,469.11863833410814,410.6459288452389,1.1423920350392807,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",asymmetric_p2p,permutation,16,0,0,1,0,mrc,p99_fct_us,517.6373340219639,410.6459288452389,1.260544176043803,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",asymmetric_p2p,permutation,16,0,0,1,0,sglb,p99_fct_us,410.6459288452389,410.6459288452389,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",asymmetric_p2p,permutation,16,0,0,1,0,n-mrc,p99_fct_us,401.8538918943163,410.6459288452389,0.9785897379388458,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",asymmetric_p2p,tornado,4,0,0,1,0,ops,p99_fct_us,243.5066535992339,107.60142156233158,2.2630430905429524,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",asymmetric_p2p,tornado,4,0,0,1,0,reps,p99_fct_us,123.67775292046525,107.60142156233158,1.1494063101092111,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",asymmetric_p2p,tornado,4,0,0,1,0,mrc,p99_fct_us,125.38752591763914,107.60142156233158,1.1652961837962743,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",asymmetric_p2p,tornado,4,0,0,1,0,sglb,p99_fct_us,107.60142156233158,107.60142156233158,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",asymmetric_p2p,tornado,4,0,0,1,0,n-mrc,p99_fct_us,103.21746763515664,107.60142156233158,0.9592574720340902,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",asymmetric_p2p,tornado,8,0,0,1,0,ops,p99_fct_us,482.6482748894352,201.9624105334566,2.3897926035571895,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",asymmetric_p2p,tornado,8,0,0,1,0,reps,p99_fct_us,234.7458384353554,201.9624105334566,1.1623244039091523,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",asymmetric_p2p,tornado,8,0,0,1,0,mrc,p99_fct_us,248.68381199998382,201.9624105334566,1.231337115372702,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",asymmetric_p2p,tornado,8,0,0,1,0,sglb,p99_fct_us,201.9624105334566,201.9624105334566,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",asymmetric_p2p,tornado,8,0,0,1,0,n-mrc,p99_fct_us,195.1805101434976,201.9624105334566,0.9664199869072393,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",asymmetric_p2p,tornado,16,0,0,1,0,ops,p99_fct_us,936.0276888479033,391.10653783544853,2.3932805982438503,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",asymmetric_p2p,tornado,16,0,0,1,0,reps,p99_fct_us,452.66565758461627,391.10653783544853,1.1573973170836322,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",asymmetric_p2p,tornado,16,0,0,1,0,mrc,p99_fct_us,519.6002280631321,391.10653783544853,1.3285388450390598,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",asymmetric_p2p,tornado,16,0,0,1,0,sglb,p99_fct_us,391.10653783544853,391.10653783544853,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_tornado_16mib,tornado_16mib,"Tornado
16 MiB",asymmetric_p2p,tornado,16,0,0,1,0,n-mrc,p99_fct_us,382.85547708507266,391.10653783544853,0.9789032911696113,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",asymmetric_p2p,websearch,0,40,0,1,0,ops,p99_fct_us,1312.0914338398777,1220.2159989609072,1.0752944027591904,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",asymmetric_p2p,websearch,0,40,0,1,0,reps,p99_fct_us,1222.4497950415614,1220.2159989609072,1.0018306562793444,3,ops;reps;mrc;sglb
