scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
full_global_p4_64mib_background_off,grade_equal,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_gentle,13,stor,109714,38631,1910,107483
full_global_p4_64mib_background_off,grade_gentle,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_gentle,29,stor,107738,37343,1905,110125
full_global_p4_64mib_background_off,grade_gentle,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_gentle,47,stor,108158,37710,1885,105313
full_global_p4_64mib_background_off,grade_gentle,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sensitive,13,stor,122547,38624,229,6588
full_global_p4_64mib_background_off,grade_sensitive,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sensitive,29,stor,132776,42922,208,7084
full_global_p4_64mib_background_off,grade_sensitive,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sensitive,47,stor,117699,37329,182,5505
full_global_p4_64mib_background_off,grade_sensitive,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sharp,13,stor,103110,35073,1892,104125
full_global_p4_64mib_background_off,grade_sharp,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sharp,29,stor,105579,35844,1965,108421
full_global_p4_64mib_background_off,grade_sharp,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_sharp,47,stor,102321,34768,2100,115442
full_global_p4_64mib_background_off,grade_sharp,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_ecn_only,13,stor,22934,11467,60,3213
standard_websearch_proxy_80pct,avail_ecn_only,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_ecn_only,29,stor,15420,7710,32,1275
standard_websearch_proxy_80pct,avail_ecn_only,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_ecn_only,47,stor,19481,9738,38,2078
standard_websearch_proxy_80pct,avail_ecn_only,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_hybrid,13,stor,343334,171667,562,14415
standard_websearch_proxy_80pct,avail_hybrid,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_hybrid,29,stor,304292,152146,567,13655
standard_websearch_proxy_80pct,avail_hybrid,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_hybrid,47,stor,310273,155135,558,13155
standard_websearch_proxy_80pct,avail_hybrid,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_packet,13,stor,495387,247693,2982,136156
standard_websearch_proxy_80pct,avail_packet,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_packet,29,stor,443282,221640,2854,127229
standard_websearch_proxy_80pct,avail_packet,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_packet,47,stor,448903,224451,2905,134108
standard_websearch_proxy_80pct,avail_packet,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_time,13,stor,495387,247693,2982,136156
standard_websearch_proxy_80pct,avail_time,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_time,29,stor,443282,221640,2854,127229
standard_websearch_proxy_80pct,avail_time,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,avail_time,47,stor,448903,224451,2905,134108
standard_websearch_proxy_80pct,avail_time,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_conservative,13,stor,126752,52521,16,333
standard_websearch_proxy_80pct,grade_conservative,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_conservative,29,stor,108480,44993,16,280
standard_websearch_proxy_80pct,grade_conservative,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_conservative,47,stor,112998,46536,14,290
standard_websearch_proxy_80pct,grade_conservative,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_default,13,stor,389913,156051,89,2427
standard_websearch_proxy_80pct,grade_default,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_default,29,stor,348042,139481,90,2674
